357.96,-209.739,-49.705,-9.687
553.327,-90.787,-58.989,-63.485
455.826,71.109,-58.989,-95.186
548.991,-115.738,-36.762,-79.96
486.346,-1.289,-36.762,-79.67
467.943,-1.288,-8.297,-97.178
457.537,-213.493,-8.297,-44.717
492.389,-97.14,-66.01,-72.182
432.388,-180.518,-66.01,-72.184
453.288,-180.519,-17.825,-46.03
408.635,-111.467,-31.499,-97.138
480.958,-308.076,-55.085,-69.064
425.803,-288.177,-46.978,-11.925
388.73,-288.177,-74.579,-22.519
464.908,-207.321,-38.661,-41.913
520.837,-213.287,-40.094,-59.914
474.963,-228.319,-39.167,-55.795
447.66,-228.32,-0.018,-55.803
525.291,-22.466,-0.018,-80.465
581.375,106.284,-0.018,-80.466
428.714,-54.715,-0.018,-102.495
503.569,-0.362,-27.079,-122.087
